Source Identifier	Activation Count
DispatchNoArg>>#method	200000
DispatchNoArg>>#verifyResult:	10
DispatchNoArg_class>>#newInstance	1
DispatchNoArg_class>>#setupVerifiedRun:	1
DispatchPerformNoArg_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
DispatchPerformNoArg>>#benchmark	10
DispatchPerformNoArg>>#λbenchmark@475@23:	200000
DispatchPerformNoArg>>#method	200000
DispatchPerformNoArg>>#verifyResult:	10
DispatchPerformNoArg_class>>#newInstance	1
DispatchPerformNoArg_class>>#setupVerifiedRun:	1
ObjectLiterals_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
ObjectLiterals>>#benchmark	1
ObjectLiterals>>#`define`cls	2000
objL@607@15>>#inc	1000
ObjectLiterals>>#λbenchmark@606@22:	1000
ObjectLiterals>>#verifyResult:	1
ObjectLiterals_class>>#newInstance	1
ObjectLiterals_class>>#setupVerifiedRun:	1
ObjectLiterals2_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
ObjectLiterals2_class>>#initializer`new	1
ObjectLiterals2>>#inc	1000
ObjectLiterals2>>#`define`cls	2000
objL@624@13>>#inc	1000
ObjectLiterals2>>#benchmark	1
ObjectLiterals2>>#λbenchmark@629@22:	1000
ObjectLiterals2>>#verifyResult:	1
ObjectLiterals2_class>>#newInstance	1
ObjectLiterals2_class>>#setupVerifiedRun:	1
ObjectLiterals3_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
ObjectLiterals3>>#inc:	1000
ObjectLiterals3>>#`define`cls	2000
objL@645@13>>#inc	1000
ObjectLiterals3>>#benchmark	1
ObjectLiterals3>>#λbenchmark@652@22:	1000
ObjectLiterals3>>#verifyResult:	1
ObjectLiterals3_class>>#newInstance	1
ObjectLiterals3_class>>#setupVerifiedRun:	1
List>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
List>>#initializer`usingPlatform:andHarness:	1
List>>#new	1
List>>#`define`cls	1
List>>#benchmark	100
List>>#verifyResult:	100
List>>#makeList:	3400
List>>#isShorter:than:	280900
List>>#talkWithX:withY:withZ:	280900
ListElement>>#new:	3100
List>>#`define`cls	1
ListElement>>#initializer`new:	3100
ListElement>>#length	1000
List>>#newInstance	1
List>>#setupVerifiedRun:	1
Mandelbrot>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Mandelbrot>>#initializer`usingPlatform:andHarness:	1
Mandelbrot>>#new	1
Mandelbrot>>#`define`cls	1
Mandelbrot>>#innerBenchmarkLoop:numThreads:	1
Mandelbrot>>#verify:inner:	1
Mandelbrot>>#mandelbrot:	1
Mandelbrot>>#newInstance	1
Mandelbrot>>#setupVerifiedRun:	1
Mirrors>>#usingVmMirror:	1
_unknown_>>#`define`cls	1
Mirrors>>#initializer`usingVmMirror:	1
ObjectMirror>>#reflecting:	32
Mirrors>>#`define`cls	1
ObjectMirror>>#initializer`reflecting:	32
ObjectMirror>>#perform:	200022
NBody>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
NBody>>#initializer`usingPlatform:andHarness:	1
NBody>>#new	1
NBody>>#`define`cls	1
NBody>>#innerBenchmarkLoop:numThreads:	1
NBody>>#λinnerBenchmarkLoopnumThreads@23@35:	250000
NBodySystem>>#new	1
NBody>>#`define`cls	1
NBodySystem>>#initializer`new	1
NBodySystem>>#createBodies	1
NBodySystem>>#λcreateBodies@50@18:	5
NBodySystem>>#advance:	250000
NBodySystem>>#λadvance@63@29:	1250000
NBodySystem>>#λλadvance@63@29@67@35:	2500000
NBodySystem>>#λadvance@88@18:	1250000
NBodySystem>>#energy	1
NBodySystem>>#λenergy@99@29:	5
NBodySystem>>#λλenergy@99@29@108@35:	10
Body_class>>#new	5
NBody>>#`define`cls	1
Body_class>>#initializer`new	5
Body>>#offsetMomentumX:y:z:	1
Body_class>>#Pi	16
Body_class>>#SolarMass	8
Body_class>>#DaysPerYear	12
Body_class>>#jupiter	1
Body_class>>#saturn	1
Body_class>>#uranus	1
Body_class>>#neptune	1
Body_class>>#sun	1
NBody>>#newInstance	1
NBody>>#setupVerifiedRun:	1
Permute>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Permute>>#initializer`usingPlatform:andHarness:	1
Permute>>#new	1
Permute>>#`define`cls	1
Permute>>#benchmark	100
Permute>>#verifyResult:	100
Permute>>#permute:	866000
Permute>>#λλpermute@44@17@46@27:	503900
Permute>>#swap:with:	1007800
Permute>>#newInstance	1
Permute>>#setupVerifiedRun:	1
Platform>>#usingVmMirror:	1
_unknown_>>#`define`cls	1
Platform>>#initializer`usingVmMirror:	1
Platform>>#start	1
Platform>>#λstart@31@5	1
Processes>>#usingVmMirror:	1
_unknown_>>#`define`cls	1
Processes>>#initializer`usingVmMirror:	1
Processes>>#`define`cls	1
Processes>>#`define`cls	1
Processes>>#`define`cls	1
Queens>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Queens>>#initializer`usingPlatform:andHarness:	1
Queens>>#new	1
Queens>>#`define`cls	1
Queens>>#benchmark	100
Queens>>#λbenchmark@31@20:	1000
Queens>>#verifyResult:	100
Queens>>#queens	1000
Queens>>#placeQueen:	113000
Queens>>#λplaceQueen@48@19:	876000
Queens>>#row:column:	876000
Queens>>#row:column:put:	218000
Queens>>#newInstance	1
Queens>>#setupVerifiedRun:	1
Richards>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Richards>>#initializer`usingPlatform:andHarness:	1
Richards>>#new	1
Richards>>#`define`cls	1
Richards>>#benchmark	1
Richards>>#verifyResult:	1
RichardsBenchmarks>>#new	1
Richards>>#`define`cls	1
RichardsBenchmarks>>#createDevice:priority:work:state:	2
RichardsBenchmarks>>#λcreateDevicepriorityworkstate@40@19::	27884
RichardsBenchmarks>>#createHandler:priority:work:state:	2
RichardsBenchmarks>>#λcreateHandlerpriorityworkstate@65@24::	23252
RichardsBenchmarks>>#createIdler:priority:work:state:	1
RichardsBenchmarks>>#λcreateIdlerpriorityworkstate@101@24::	10000
RichardsBenchmarks>>#createPacket:identity:kind:	8
RichardsBenchmarks>>#createTask:priority:work:state:function:data:	6
RichardsBenchmarks>>#createWorker:priority:work:state:	1
RichardsBenchmarks>>#λcreateWorkerpriorityworkstate@144@24::	4654
RichardsBenchmarks>>#λλλcreateWorkerpriorityworkstate@144@24@149@25@155@30:	9308
RichardsBenchmarks>>#start	1
RichardsBenchmarks>>#findTask:	33245
RichardsBenchmarks>>#holdSelf	9297
RichardsBenchmarks>>#initScheduler	1
RichardsBenchmarks>>#initTrace	1
RichardsBenchmarks>>#queuePacket:	23246
RichardsBenchmarks>>#release:	9999
RichardsBenchmarks>>#wait	23248
RichardsBenchmarks>>#schedule	1
Richards>>#`define`cls	1
RBObject>>#append:head:	20114
DeviceTaskDataRecord>>#create	2
Richards>>#`define`cls	1
DeviceTaskDataRecord>>#initializer`create	2
HandlerTaskDataRecord>>#create	2
Richards>>#`define`cls	1
HandlerTaskDataRecord>>#initializer`create	2
HandlerTaskDataRecord>>#deviceInAdd:	9300
HandlerTaskDataRecord>>#workInAdd:	2327
IdleTaskDataRecord>>#create	1
Richards>>#`define`cls	1
IdleTaskDataRecord>>#initializer`create	1
Packet>>#create:identity:kind:	8
Richards>>#`define`cls	1
Packet>>#initializer`create:identity:kind:	8
TaskState_class>>#new	6
Richards>>#`define`cls	1
TaskState>>#isPacketPending	6
TaskState>>#isTaskHolding	6
TaskState>>#isTaskWaiting	6
TaskState>>#taskHolding:	19302
TaskState>>#taskWaiting:	23254
TaskState>>#packetPending:	14765
TaskState>>#packetPending	8490
TaskState>>#running	14761
TaskState>>#waiting	2
TaskState>>#waitingWithPacket	3
TaskState>>#isTaskHoldingOrWaiting	106604
TaskState>>#isWaitingWithPacket	65790
TaskState_class>>#running	1
TaskState_class>>#waiting	2
TaskState_class>>#waitingWithPacket	3
TaskControlBlock>>#link:create:priority:initialWorkQueue:initialState:function:privateData:	6
Richards>>#`define`cls	1
TaskControlBlock>>#initializer`link:create:priority:initialWorkQueue:initialState:function:privateData:	6
TaskControlBlock>>#addInput:checkPriority:	23246
TaskControlBlock>>#runTask	65790
WorkerTaskDataRecord>>#create	1
Richards>>#`define`cls	1
WorkerTaskDataRecord>>#initializer`create	1
Richards>>#newInstance	1
Richards>>#setupVerifiedRun:	1
Sieve>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Sieve>>#initializer`usingPlatform:andHarness:	1
Sieve>>#new	1
Sieve>>#`define`cls	1
Sieve>>#benchmark	100
Sieve>>#verifyResult:	100
Sieve>>#sieve:size:	100
Sieve>>#λsievesize@43@22:	499900
Sieve>>#newInstance	1
Sieve>>#setupVerifiedRun:	1
Sort>>#usingPlatform:andHarness:	3
_unknown_>>#`define`cls	3
Sort>>#initializer`usingPlatform:andHarness:	3
Sort>>#`define`cls	3
Sort>>#benchmark	300
Sort>>#verifyResult:	200
Sort>>#λverifyResult@43@32:	92600
Sort>>#randomArray:with:	300
Sort>>#λrandomArraywith@51@42	193000
Sort>>#λrandomArraywith@53@19:	193000
BubbleSort_class>>#new	1
Sort>>#`define`cls	1
BubbleSort>>#sort:	100
BubbleSort>>#λsort@62@32:	13000
BubbleSort>>#λλsort@62@32@63@25:	838500
BubbleSort>>#dataSize	100
BubbleSort_class>>#newInstance	1
BubbleSort_class>>#setupVerifiedRun:	1
QuickSort_class>>#new	1
Sort>>#`define`cls	1
QuickSort>>#sort:	100
QuickSort>>#sort:low:high:	69900
QuickSort>>#dataSize	200
QuickSort_class>>#newInstance	1
QuickSort_class>>#setupVerifiedRun:	1
TreeNode>>#new:	100000
Sort>>#`define`cls	1
TreeNode>>#initializer`new:	100000
TreeNode>>#check	100000
TreeNode>>#insert:	1115900
TreeSort_class>>#new	1
Sort>>#`define`cls	1
TreeSort>>#sort:	100
TreeSort>>#λsort@142@26:	100000
TreeSort>>#verifyResult:	100
TreeSort>>#dataSize	100
TreeSort_class>>#newInstance	1
TreeSort_class>>#setupVerifiedRun:	1
Storage>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
