Source Section	Access Type	Data Type	Count
DeltaBlue.ns pos=25117 len=2	read	Variable	1099
DeltaBlue.ns pos=25117 len=2	read	ALL	1099
DeltaBlue.ns pos=25120 len=5	read	Integer	1099
DeltaBlue.ns pos=25120 len=5	read	ALL	1099
DeltaBlue.ns pos=25128 len=6	read	Variable	1099
DeltaBlue.ns pos=25128 len=6	read	ALL	1099
DeltaBlue.ns pos=25135 len=5	read	Integer	1099
DeltaBlue.ns pos=25135 len=5	read	ALL	1099
DeltaBlue.ns pos=25144 len=5	read	Variable	1099
DeltaBlue.ns pos=25144 len=5	read	ALL	1099
DeltaBlue.ns pos=25150 len=5	read	Integer	1099
DeltaBlue.ns pos=25150 len=5	read	ALL	1099
DeltaBlue.ns pos=25263 len=9	read	Symbol	6399
DeltaBlue.ns pos=25263 len=9	read	ALL	6399
DeltaBlue.ns pos=25315 len=2	read	Variable	6199
DeltaBlue.ns pos=25315 len=2	read	ALL	6199
DeltaBlue.ns pos=25350 len=5	read	Variable	6199
DeltaBlue.ns pos=25350 len=5	read	ALL	6199
DeltaBlue.ns pos=25388 len=6	read	Variable	6199
DeltaBlue.ns pos=25388 len=6	read	ALL	6199
DeltaBlue.ns pos=25428 len=2	read	Variable	199
DeltaBlue.ns pos=25428 len=2	read	ALL	199
DeltaBlue.ns pos=25464 len=5	read	Variable	199
DeltaBlue.ns pos=25464 len=5	read	ALL	199
DeltaBlue.ns pos=25503 len=6	read	Variable	199
DeltaBlue.ns pos=25503 len=6	read	ALL	199
DeltaBlue.ns pos=25760 len=9	read	Symbol	10599
DeltaBlue.ns pos=25760 len=9	read	ALL	10599
DeltaBlue.ns pos=25806 len=2	read	Variable	10399
DeltaBlue.ns pos=25806 len=2	read	ALL	10399
DeltaBlue.ns pos=25816 len=2	read	Variable	10399
DeltaBlue.ns pos=25816 len=2	read	ALL	10399
DeltaBlue.ns pos=25846 len=2	read	Variable	199
DeltaBlue.ns pos=25846 len=2	read	ALL	199
DeltaBlue.ns pos=25856 len=2	read	Variable	199
DeltaBlue.ns pos=25856 len=2	read	ALL	199
DeltaBlue.ns pos=25887 len=8	read	Strength	10599
DeltaBlue.ns pos=25887 len=8	read	ALL	10599
DeltaBlue.ns pos=25908 len=12	read	Strength	10599
DeltaBlue.ns pos=25908 len=12	read	ALL	10599
DeltaBlue.ns pos=25943 len=4	read	False	200
DeltaBlue.ns pos=25943 len=4	read	True	10399
DeltaBlue.ns pos=25943 len=4	read	ALL	10599
DeltaBlue.ns pos=25954 len=5	read	Variable	10399
DeltaBlue.ns pos=25954 len=5	read	ALL	10399
