Name	Executed	Execution Count
Method(FarReference>>#notNil)	false	0
Method(FarReference>>#~=)	false	0
Method(Fibonacci>>#benchmark)	true	10
Method(Fibonacci>>#fibonacci:)	true	218910
Method(Fibonacci>>#newInstance)	true	1
Method(Fibonacci>>#setupVerifiedRun:)	true	1
Method(Fibonacci>>#verifyResult:)	true	10
Method(FieldLoop>>#benchmark)	true	10
Method(FieldLoop>>#newInstance)	true	1
Method(FieldLoop>>#setupVerifiedRun:)	true	1
Method(FieldLoop>>#verifyResult:)	true	10
Method(FieldWriteToEscapedObject>>#benchmark)	false	0
Method(FieldWriteToEscapedObject>>#newInstance)	false	0
Method(FieldWriteToEscapedObject>>#setupVerifiedRun:)	false	0
Method(FieldWriteToEscapedObject>>#verifyResult:)	false	0
Method(FieldWrite>>#benchmark)	true	10
Method(FieldWrite>>#newInstance)	true	1
Method(FieldWrite>>#setupVerifiedRun:)	true	1
Method(FieldWrite>>#verifyResult:)	true	10
Method(FileDescriptor>>#buffer)	false	0
Method(FileDescriptor>>#bufferSize)	false	0
Method(FileDescriptor>>#bufferSize:)	false	0
Method(FileDescriptor>>#close)	false	0
Method(FileDescriptor>>#for:mode:)	false	0
Method(FileDescriptor>>#isClosed)	false	0
Method(FileDescriptor>>#mode:)	false	0
Method(FileDescriptor>>#new)	false	0
Method(FileDescriptor>>#openIfFail:)	false	0
Method(FileDescriptor>>#readAt:)	false	0
Method(FileDescriptor>>#readAt:ifFail:)	false	0
Method(FileDescriptor>>#size)	false	0
Method(FileDescriptor>>#write:at:)	false	0
Method(FileDescriptor>>#write:at:ifFail:)	false	0
Method(FileNotFoundException>>#asString)	false	0
Method(FileNotFoundException>>#signalFor:with:)	false	0
Method(FilePath>>#,)	false	0
Method(FilePath>>#charInputStream)	false	0
Method(FilePath>>#charOutputStream)	false	0
Method(FilePath>>#copyAs:)	false	0
Method(FilePath>>#copyAs:ifFail:)	false	0
Method(FilePath>>#copyNamed:)	false	0
Method(FilePath>>#copyNamed:ifFail:)	false	0
Method(FilePath>>#createDirectory)	false	0
Method(FilePath>>#createDirectoryIfFail:)	false	0
Method(FilePath>>#currentDirectory)	false	0
Method(FilePath>>#deleteDirectory)	false	0
Method(FilePath>>#deleteDirectoryIfFail:)	false	0
Method(FilePath>>#deleteFile)	false	0
Method(FilePath>>#deleteFileIfFail:)	false	0
Method(FilePath>>#deletePathIfFail:)	false	0
Method(FilePath>>#elements)	false	0
Method(FilePath>>#entries)	false	0
Method(FilePath>>#exists)	false	0
Method(FilePath>>#extendPath:)	false	0
Method(FilePath>>#for:)	false	0
Method(FilePath>>#isDirectory)	false	0
Method(FilePath>>#isPath)	false	0
Method(FilePath>>#isReadOnly)	false	0
Method(FilePath>>#isWriteable)	false	0
Method(FilePath>>#lastModified)	false	0
Method(FilePath>>#moveAs:)	false	0
Method(FilePath>>#moveAs:ifFail:)	false	0
Method(FilePath>>#name)	false	0
Method(FilePath>>#open:)	false	0
Method(FilePath>>#open:ifFail:)	false	0
Method(FilePath>>#pathsDo:)	false	0
Method(FilePath>>#pattern:)	false	0
Method(FilePath>>#readStream)	false	0
Method(FilePath>>#readWriteStream)	false	0
Method(FilePath>>#rename:)	false	0
Method(FilePath>>#rename:ifFail:)	false	0
Method(FilePath>>#simpleName)	false	0
Method(FilePath>>#size)	false	0
Method(FilePath>>#writeStream)	false	0
Method(FilePattern>>#,)	false	0
Method(FilePattern>>#/)	false	0
Method(FilePattern>>#assert:)	false	0
Method(FilePattern>>#assert:)	false	0
Method(FilePattern>>#assert:message:)	false	0
Method(FilePattern>>#assert:message:)	false	0
Method(FilePattern>>#baseName)	false	0
Method(FilePattern>>#containingDirectory)	false	0
Method(FilePattern>>#copyToDir:ifFail:)	false	0
Method(FilePattern>>#delete)	false	0
Method(FilePattern>>#deleteIfFail:)	false	0
Method(FilePattern>>#elements)	false	0
Method(FilePattern>>#elementsDo:)	false	0
Method(FilePattern>>#extendPath:)	false	0
Method(FilePattern>>#extendPattern:)	false	0
Method(FilePattern>>#firstWildElementOf:ifFail:)	false	0
Method(FilePattern>>#for:)	false	0
Method(FilePattern>>#forAll:)	false	0
Method(FilePattern>>#forElements:)	false	0
Method(FilePattern>>#isAbsolute)	false	0
Method(FilePattern>>#isPath)	false	0
Method(FilePattern>>#isRelative)	false	0
Method(FilePattern>>#multipleMatchWildcardCharacter)	false	0
Method(FilePattern>>#paths)	false	0
Method(FilePattern>>#pathsDo:)	false	0
Method(FilePattern>>#pattern)	false	0
Method(FilePattern>>#pattern:)	false	0
Method(FilePattern>>#patternExtending:)	false	0
Method(FilePattern>>#patternHasWildcards:)	false	0
Method(FilePattern>>#separator)	false	0
Method(FilePattern>>#singleMatchWildcardCharacter)	false	0
Method(FilePattern>>#string:match:si:mi:)	false	0
Method(FilePattern>>#string:platformMatch:)	false	0
Method(FilePattern>>#terminalPathsDo:)	false	0
Method(Files>>#signalFileNotFoundException:with:)	false	0
Method(Files>>#signalIOException:)	false	0
Method(GCBench>>#newInstance)	true	1
Method(GCBench>>#setupVerifiedRun:)	true	1
Method(GCBench>>#innerBenchmarkLoop:numThreads:)	true	5
Method(GCBench>>#make_tree:)	true	45945
Method(GCBench>>#num_iters:)	true	20
Method(GCBench>>#populate:tree:)	true	43385
Method(GCBench>>#time_construction:)	true	20
Method(GCBench>>#time_constructions:)	true	5
Method(GCBench>>#tree_size:)	true	40
Method(HandlerTaskDataRecord>>#asString)	false	0
Method(HandlerTaskDataRecord>>#deviceInAdd:)	true	9300
Method(HandlerTaskDataRecord>>#workInAdd:)	true	2327
Method(Harness>>#loadBenchmarkSuite:)	false	0
Method(Harness>>#loadFile:)	false	0
Method(Harness>>#loadModule:)	false	0
Method(Harness>>#main:)	false	0
Method(Harness>>#printUsage)	false	0
Method(Harness>>#processArguments:for:)	false	0
Method(HashIndexTable>>#at:)	true	3
Method(HashIndexTable>>#at:put:)	true	598
Method(HashIndexTable>>#hashSlotFor:)	true	601
Method(HashIndexTable>>#remove:)	false	0
Method(IOException>>#asString)	false	0
Method(IOException>>#signalWith:)	false	0
Method(IdEntry>>#match:key:)	false	0
Method(IdentityDictionary>>#new)	false	0
Method(IdentityDictionary>>#newEntry:value:hash:)	false	0
Method(IdentitySet>>#contains:)	false	0
Method(IdentitySet>>#new)	false	0
Method(InstantiatePrimValueObject>>#benchmark)	false	0
Method(InstantiatePrimValueObject>>#newInstance)	false	0
Method(InstantiatePrimValueObject>>#setupVerifiedRun:)	false	0
Method(InstantiatePrimValueObject>>#verifyResult:)	false	0
Method(InstantiateValueValueObjectFewer>>#benchmark)	false	0
Method(InstantiateValueValueObjectFewer>>#newInstance)	false	0
Method(InstantiateValueValueObjectFewer>>#setupVerifiedRun:)	false	0
Method(InstantiateValueValueObjectFewer>>#verifyResult:)	false	0
Method(InstantiateValueValueObject>>#benchmark)	false	0
Method(InstantiateValueValueObject>>#newInstance)	false	0
Method(InstantiateValueValueObject>>#setupVerifiedRun:)	false	0
Method(InstantiateValueValueObject>>#verifyResult:)	false	0
Method(IntegerLoop>>#benchmark)	true	10
Method(IntegerLoop>>#newInstance)	true	1
